actual_values,predicted_values,difference
321321.0,457359.87143697124,136038.87143697124
230000.0,161564.24834945519,-68435.75165054481
207500.0,478459.8409151761,270959.8409151761
180000.0,182267.1744177253,2267.1744177252986
297000.0,238204.9932022756,-58795.0067977244
426000.0,504407.82004420203,78407.82004420203
1390000.0,760699.578291531,-629300.421708469
419000.0,422715.7516840487,3715.7516840486787
339000.0,190322.18961498234,-148677.81038501766
319000.0,311150.36997221364,-7849.630027786363
229000.0,248570.8322559977,19570.832255997695
299000.0,347753.1647729613,48753.16477296129
309000.0,424002.9514729534,115002.95147295343
265000.0,249590.14186803717,-15409.858131962828
399000.0,647409.61053164,248409.61053164
481000.0,547968.2684359369,66968.26843593689
240000.0,201464.3996668728,-38535.60033312719
379000.0,525021.0184616465,146021.0184616465
280000.0,180025.5347646568,-99974.4652353432
350000.0,266024.3890864202,-83975.61091357982
485000.0,381948.8242646279,-103051.17573537212
228500.0,165920.71909486828,-62579.280905131716
291400.0,375937.1369637777,84537.13696377771
346000.0,233987.40008698637,-112012.59991301363
195000.0,148239.8383738557,-46760.16162614431
394493.0,412578.2831508382,18085.283150838222
276000.0,353617.0216016453,77617.02160164528
295000.0,321793.99966688687,26793.99966688687
249000.0,340869.92862729635,91869.92862729635
399000.0,575424.8213986838,176424.82139868382
299000.0,313342.23878521705,14342.23878521705
364868.0,267823.44228574634,-97044.55771425366
699000.0,622769.692473805,-76230.30752619496
210000.0,128593.94041259866,-81406.05958740134
199000.0,46233.39756310545,-152766.60243689455
249000.0,333459.7638788251,84459.76387882512
165000.0,112202.11958233453,-52797.88041766547
385000.0,413311.6864442504,28311.6864442504
474000.0,443458.058762148,-30541.941237851977
506000.0,600729.1465129734,94729.14651297336
160000.0,89070.03513639001,-70929.96486360999
334248.0,203738.82646926586,-130509.17353073414
660000.0,717857.5689712781,57857.568971278146
119000.0,191129.21829342563,72129.21829342563
899000.0,849448.969368177,-49551.030631823
265000.0,316310.3855691985,51310.38556919852
255000.0,223331.6472223159,-31668.352777684107
249000.0,333258.1782182348,84258.1782182348
210000.0,206485.85266589047,-3514.147334109526
249000.0,210028.46733098896,-38971.53266901104
355000.0,361347.28191461135,6347.281914611347
490000.0,381777.2667436679,-108222.73325633211
325000.0,266204.600181689,-58795.39981831098
1195000.0,1539618.5008271155,344618.5008271155
435000.0,442910.0590180494,7910.059018049389
875000.0,1833280.283609794,958280.283609794
225000.0,162911.90828418126,-62088.09171581874
418950.0,439347.2663828442,20397.266382844187
175000.0,151715.75648047915,-23284.243519520853
1600000.0,573828.3113423954,-1026171.6886576046
179000.0,188379.78931697365,9379.789316973649
1345000.0,529574.7420528217,-815425.2579471783
674000.0,410857.684524836,-263142.315475164
649000.0,921021.3333210265,272021.3333210265
416000.0,741883.7174682165,325883.71746821655
309400.0,230300.34208801202,-79099.65791198798
549000.0,446395.4386884775,-102604.5613115225
225000.0,291904.28313883115,66904.28313883115
625000.0,321243.20584793994,-303756.79415206006
355000.0,321228.93380686594,-33771.06619313406
229000.0,422122.40877834475,193122.40877834475
289000.0,274002.1341949054,-14997.865805094596
325000.0,312505.0230486756,-12494.976951324381
149000.0,78235.82076151669,-70764.17923848331
325000.0,294497.39393740334,-30502.606062596664
668000.0,616355.8476154797,-51644.152384520276
77500.0,228928.211140031,151428.211140031
299000.0,286307.7244999567,-12692.275500043295
549000.0,675823.7356725228,126823.7356725228
129000.0,128435.86917559663,-564.1308244033717
269000.0,371988.52861596365,102988.52861596365
105000.0,619521.7611315004,514521.76113150036
485000.0,608962.2302724014,123962.23027240136
435000.0,489664.49382743053,54664.49382743053
269000.0,153380.17146680038,-115619.82853319962
249000.0,691156.370772305,442156.37077230494
459000.0,438691.1363502173,-20308.863649782725
286200.0,285315.9097485561,-884.0902514439076
265000.0,52852.95090222778,-212147.04909777222
140000.0,255840.07897188794,115840.07897188794
299000.0,95608.00971026672,-203391.99028973328
294000.0,257097.82841048576,-36902.17158951424
230047.0,250310.66087450227,20263.660874502268
140000.0,287308.26784237986,147308.26784237986
499000.0,495226.37513505016,-3773.624864949845
285000.0,334658.2402882213,49658.24028822128
