actual_values,predicted_values,difference
321321.0,349801.05,28480.04999999999
230000.0,190100.0,-39900.0
207500.0,193137.9166666667,-14362.083333333314
180000.0,176600.0,-3400.0
297000.0,329380.5714285714,32380.57142857142
426000.0,421750.0,-4250.0
1390000.0,696900.0,-693100.0
419000.0,449662.5,30662.5
339000.0,250766.25,-88233.75
319000.0,278417.53809523804,-40582.46190476196
229000.0,170541.6666666667,-58458.333333333314
299000.0,280137.6111111111,-18862.388888888876
309000.0,297100.0,-11900.0
265000.0,177965.0,-87035.0
399000.0,299087.5,-99912.5
481000.0,469280.0,-11720.0
240000.0,324150.0,84150.0
379000.0,362500.0,-16500.0
280000.0,248420.0,-31580.0
350000.0,500140.5,150140.5
485000.0,391537.7466666667,-93462.2533333333
228500.0,224831.42857142858,-3668.5714285714203
291400.0,415656.55,124256.54999999999
346000.0,377264.5172882673,31264.51728826732
195000.0,177425.0,-17575.0
394493.0,398016.95,3523.9500000000116
276000.0,286750.14375,10750.143749999988
295000.0,309950.0,14950.0
249000.0,318234.85,69234.84999999998
399000.0,341450.0,-57550.0
299000.0,245375.0,-53625.0
364868.0,390664.5,25796.5
699000.0,585000.0,-114000.0
210000.0,213450.0,3450.0
199000.0,114279.95,-84720.05
249000.0,209650.0,-39350.0
165000.0,144750.0,-20250.0
385000.0,467815.0793650793,82815.07936507929
474000.0,472133.3333333333,-1866.666666666686
506000.0,410589.75,-95410.25
160000.0,181820.23809523808,21820.238095238077
334248.0,365316.65,31068.650000000023
660000.0,770680.0,110680.0
119000.0,233985.0,114985.0
899000.0,773750.0,-125250.0
265000.0,423100.0,158100.0
255000.0,282029.1666666667,27029.166666666686
249000.0,282292.53809523804,33292.53809523804
210000.0,301200.0,91200.0
249000.0,239180.0723809524,-9819.927619047608
355000.0,358300.0,3300.0
490000.0,530714.75,40714.75
325000.0,306700.0,-18300.0
1195000.0,1105089.285714286,-89910.71428571409
435000.0,428825.0,-6175.0
875000.0,996625.0,121625.0
225000.0,180350.0,-44650.0
418950.0,421029.20666666667,2079.206666666665
175000.0,219227.45,44227.45000000001
1600000.0,897855.15,-702144.85
179000.0,156125.0,-22875.0
1345000.0,1517250.0,172250.0
674000.0,465775.0,-208225.0
649000.0,705849.95,56849.94999999995
416000.0,427932.24650696275,11932.24650696275
309400.0,304670.6,-4729.400000000023
549000.0,476695.0,-72305.0
225000.0,207650.0,-17350.0
625000.0,511000.0,-114000.0
355000.0,294095.0,-60905.0
229000.0,328050.0,99050.0
289000.0,280095.0,-8905.0
325000.0,257875.0,-67125.0
149000.0,154075.0,5075.0
325000.0,321829.1666666666,-3170.833333333372
668000.0,636475.0,-31525.0
77500.0,93000.0,15500.0
299000.0,333623.3333333333,34623.333333333314
549000.0,481950.0,-67050.0
129000.0,157200.0,28200.0
269000.0,216018.75,-52981.25
105000.0,168058.3333333333,63058.333333333314
485000.0,689000.0,204000.0
435000.0,787500.0,352500.0
269000.0,207950.0,-61050.0
249000.0,250250.0,1250.0
459000.0,441000.0,-18000.0
286200.0,302986.25,16786.25
265000.0,260800.0,-4200.0
140000.0,153300.0,13300.0
299000.0,296900.0,-2100.0
294000.0,326112.9083333333,32112.908333333326
230047.0,234695.03666666668,4648.036666666681
140000.0,170800.0,30800.0
499000.0,452792.55,-46207.45000000001
285000.0,307383.3333333334,22383.333333333372
249000.0,187661.90476190476,-61338.09523809524
380459.0,423694.2166666666,43235.216666666616
315000.0,387995.0,72995.0
420000.0,393650.0,-26350.0
298986.0,313545.475,14559.474999999977
995000.0,903145.0,-91855.0
501931.0,542826.5,40895.5
205000.0,224350.0,19350.0
388565.0,396504.55,7939.549999999988
324000.0,303990.0,-20010.0
100000.0,126950.0,26950.0
1350000.0,1412000.0,62000.0
249000.0,379413.65,130413.65000000002
338500.0,328101.0416666666,-10398.958333333372
282500.0,274692.5,-7807.5
85000.0,135890.0,50890.0
479000.0,422366.8,-56633.20000000001
259000.0,238278.85,-20721.149999999994
329000.0,240420.0,-88580.0
317000.0,323250.0,6250.0
945000.0,537300.0,-407700.0
185000.0,216316.6666666667,31316.666666666686
310000.0,343141.725,33141.72499999998
185000.0,305940.0,120940.0
750000.0,737044.05,-12955.949999999953
195000.0,176950.0,-18050.0
485500.0,465049.4,-20450.599999999977
279000.0,299950.0,20950.0
620000.0,868940.5,248940.5
269000.0,252088.2,-16911.79999999999
280000.0,321028.85,41028.84999999998
375000.0,302600.0,-72400.0
379500.0,380674.5,1174.5
275000.0,198649.95,-76350.04999999999
349000.0,300983.5,-48016.5
499000.0,500400.0,1400.0
440000.0,348305.4,-91694.59999999998
450000.0,441385.0,-8615.0
464000.0,393700.0,-70300.0
225000.0,214065.45,-10934.549999999988
169000.0,192725.0,23725.0
353183.0,353489.975,306.9749999999767
324900.0,355040.25,30140.25
277000.0,245833.4208333333,-31166.579166666692
337500.0,369292.45,31792.45000000001
410000.0,436135.71428571426,26135.71428571426
325000.0,1522450.0,1197450.0
289000.0,288865.8,-134.20000000001164
295000.0,260561.55,-34438.45000000001
446654.0,550288.6,103634.59999999998
