actual_values,predicted_values,difference
321321.0,457359.8714425196,136038.8714425196
230000.0,161564.2483276911,-68435.75167230889
207500.0,478459.840914923,270959.840914923
180000.0,182267.1744226045,2267.1744226044975
297000.0,238204.99320495734,-58795.00679504266
426000.0,504407.8200438279,78407.82004382787
1390000.0,760699.5782934965,-629300.4217065035
419000.0,422715.7516781306,3715.7516781305894
339000.0,190322.18959367136,-148677.81040632864
319000.0,311150.3699723175,-7849.63002768252
229000.0,248570.83225606987,19570.832256069873
299000.0,347753.1647715494,48753.164771549404
309000.0,424002.9514776687,115002.95147766871
265000.0,249590.141873118,-15409.858126881998
399000.0,647409.610532451,248409.61053245096
481000.0,547968.2684411446,66968.26844114461
240000.0,201464.39966830937,-38535.60033169063
379000.0,525021.0184636298,146021.01846362976
280000.0,180025.5347673823,-99974.46523261769
350000.0,266024.3890887401,-83975.6109112599
485000.0,381948.8242662358,-103051.17573376419
228500.0,165920.7190913367,-62579.28090866329
291400.0,375937.13696468854,84537.13696468854
346000.0,233987.4000905403,-112012.5999094597
195000.0,148239.8383755074,-46760.16162449261
394493.0,412578.2831616276,18085.283161627594
276000.0,353617.0215980788,77617.02159807878
295000.0,321793.99967132695,26793.99967132695
249000.0,340869.9286252889,91869.92862528889
399000.0,575424.8214029821,176424.8214029821
299000.0,313342.2387867486,14342.23878674861
364868.0,267823.44228340825,-97044.55771659175
699000.0,622769.6924749862,-76230.3075250138
210000.0,128593.940406112,-81406.059593888
199000.0,46233.3975595911,-152766.6024404089
249000.0,333459.7638783171,84459.76387831708
165000.0,112202.1195821329,-52797.8804178671
385000.0,413311.6864442355,28311.6864442355
474000.0,443458.0587614272,-30541.94123857282
506000.0,600729.1465098048,94729.14650980476
160000.0,89070.03513435414,-70929.96486564586
334248.0,203738.8264687527,-130509.1735312473
660000.0,717857.5689726893,57857.56897268933
119000.0,191129.21828390332,72129.21828390332
899000.0,849448.9693651032,-49551.03063489683
265000.0,316310.385570297,51310.38557029702
255000.0,223331.6472262484,-31668.352773751598
249000.0,333258.17822147487,84258.17822147487
210000.0,206485.8526758277,-3514.1473241723143
249000.0,210028.4673281,-38971.5326719
355000.0,361347.2819175087,6347.281917508692
490000.0,381777.2667366979,-108222.73326330213
325000.0,266204.6002029171,-58795.39979708288
1195000.0,1539618.5008277567,344618.5008277567
435000.0,442910.0590187572,7910.059018757194
875000.0,1833280.2836110694,958280.2836110694
225000.0,162911.9082835433,-62088.09171645669
418950.0,439347.26637500804,20397.26637500804
175000.0,151715.75648202887,-23284.243517971132
1600000.0,573828.3113378584,-1026171.6886621416
179000.0,188379.78931861278,9379.789318612777
1345000.0,529574.7420555067,-815425.2579444933
674000.0,410857.68452694267,-263142.31547305733
649000.0,921021.3333183578,272021.3333183578
416000.0,741883.7174697826,325883.71746978257
309400.0,230300.34208472306,-79099.65791527694
549000.0,446395.4386897348,-102604.56131026521
225000.0,291904.283150373,66904.28315037303
625000.0,321243.2058487544,-303756.7941512456
355000.0,321228.9338117391,-33771.06618826091
229000.0,422122.4087753091,193122.4087753091
289000.0,274002.13419432426,-14997.865805675741
325000.0,312505.0230481634,-12494.976951836608
149000.0,78235.82075989246,-70764.17924010754
325000.0,294497.39393808926,-30502.606061910745
668000.0,616355.8476148522,-51644.152385147754
77500.0,228928.21113958396,151428.21113958396
299000.0,286307.7244995325,-12692.275500467513
549000.0,675823.735670039,126823.73567003896
129000.0,128435.86917336704,-564.1308266329579
269000.0,371988.52861890383,102988.52861890383
105000.0,619521.761131784,514521.76113178395
485000.0,608962.2302749655,123962.23027496552
435000.0,489664.49382621096,54664.493826210964
269000.0,153380.17147072358,-115619.82852927642
249000.0,691156.3707725955,442156.3707725955
459000.0,438691.1363476203,-20308.863652379718
286200.0,285315.9097496555,-884.0902503444813
265000.0,52852.95089906221,-212147.0491009378
140000.0,255840.07897333847,115840.07897333847
