actual_values,predicted_values,difference
374000.0,383256.5,9256.5
225000.0,252040.78,27040.78125
2300000.0,2035067.5,-264932.5
336952.0,415562.16,78610.15625
349000.0,357445.66,8445.65625
127000.0,155080.47,28080.46875
792639.0,608603.0,-184036.0
240000.0,423675.34,183675.34375
275000.0,284468.8,9468.8125
321750.0,343701.25,21951.25
550000.0,669878.5,119878.5
360000.0,337922.22,-22077.78125
285000.0,273601.97,-11398.03125
450000.0,532091.2,82091.1875
298000.0,373811.5,75811.5
645000.0,710238.0,65238.0
349000.0,416156.44,67156.4375
595000.0,461482.94,-133517.0625
399000.0,466240.7,67240.6875
89000.0,127219.51,38219.5078125
1190000.0,1269792.5,79792.5
439000.0,447312.34,8312.34375
365000.0,379971.66,14971.65625
539000.0,540935.06,1935.0625
425000.0,407182.97,-17817.03125
425000.0,277675.03,-147324.96875
320000.0,391651.2,71651.1875
229530.0,245394.56,15864.5625
465000.0,529683.8,64683.8125
310000.0,327369.72,17369.71875
390000.0,391610.6,1610.59375
419900.0,471097.94,51197.9375
385050.0,429014.9,43964.90625
395000.0,513885.2,118885.1875
149000.0,152580.11,3580.109375
199000.0,238628.55,39628.546875
790000.0,599544.8,-190455.1875
454000.0,623010.2,169010.1875
925000.0,1028183.44,103183.4375
550000.0,587699.4,37699.375
305000.0,376079.34,71079.34375
429000.0,443132.56,14132.5625
227000.0,236356.28,9356.28125
454644.0,491697.03,37053.03125
299900.0,332696.75,32796.75
195000.0,304400.44,109400.4375
365000.0,363454.75,-1545.25
292691.0,304070.7,11379.6875
333500.0,365511.44,32011.4375
275000.0,289048.6,14048.59375
775000.0,791554.8,16554.8125
235000.0,274223.5,39223.5
259000.0,249231.72,-9768.28125
565000.0,655302.1,90302.125
299600.0,298571.03,-1028.96875
230000.0,230230.16,230.15625
346500.0,373738.0,27238.0
211000.0,254569.2,43569.203125
550500.0,510640.94,-39859.0625
119500.0,173670.03,54170.03125
192500.0,226666.42,34166.421875
239000.0,350284.03,111284.03125
270000.0,263990.38,-6009.625
623260.0,541576.1,-81683.875
89000.0,110844.945,21844.9453125
1995000.0,1460217.0,-534783.0
295000.0,352382.66,57382.65625
420000.0,505992.84,85992.84375
375000.0,216397.02,-158602.984375
355000.0,403326.97,48326.96875
685000.0,750522.4,65522.375
599000.0,479241.72,-119758.28125
370000.0,354965.2,-15034.8125
706000.0,547558.56,-158441.4375
278350.0,239257.9,-39092.09375
359113.0,378027.62,18914.625
549000.0,331166.6,-217833.40625
649000.0,735711.4,86711.375
399000.0,460213.47,61213.46875
260500.0,247366.05,-13133.953125
275450.0,256761.77,-18688.234375
229000.0,228831.98,-168.015625
169000.0,970773.06,801773.0625
386820.0,286255.34,-100564.65625
303400.0,277820.3,-25579.6875
177500.0,216127.97,38627.96875
245000.0,205956.22,-39043.78125
165000.0,197927.36,32927.359375
785000.0,621502.4,-163497.625
325000.0,361946.8,36946.8125
294000.0,329725.4,35725.40625
257067.0,572019.6,314952.625
398000.0,358613.53,-39386.46875
525000.0,671387.2,146387.1875
250000.0,373623.06,123623.0625
229000.0,303796.1,74796.09375
177500.0,174023.4,-3476.59375
430000.0,399453.03,-30546.96875
1145000.0,1724527.2,579527.25
369338.0,343925.88,-25412.125
199000.0,253982.77,54982.765625
274000.0,261946.45,-12053.546875
228000.0,245954.64,17954.640625
428000.0,598137.0,170137.0
170000.0,106791.73,-63208.2734375
250000.0,243615.02,-6384.984375
135000.0,208932.81,73932.8125
277000.0,281909.06,4909.0625
372000.0,350306.7,-21693.3125
85000.0,166772.47,81772.46875
199000.0,295746.44,96746.4375
770403.0,647734.3,-122668.6875
219000.0,191720.47,-27279.53125
695000.0,792141.9,97141.875
539000.0,496154.78,-42845.21875
450000.0,529537.9,79537.875
319000.0,413435.53,94435.53125
224000.0,226634.48,2634.484375
175340.0,233758.33,58418.328125
795000.0,594472.2,-200527.8125
165000.0,179789.75,14789.75
395000.0,422958.3,27958.3125
255000.0,227357.95,-27642.046875
149999.0,241661.36,91662.359375
270189.0,358325.38,88136.375
321703.0,304070.7,-17632.3125
390000.0,412985.25,22985.25
185000.0,310300.94,125300.9375
475000.0,362999.16,-112000.84375
174900.0,166850.55,-8049.453125
295000.0,208657.84,-86342.15625
166000.0,201342.23,35342.234375
425000.0,472833.1,47833.09375
335000.0,323423.8,-11576.1875
449000.0,460483.8,11483.8125
385000.0,374279.66,-10720.34375
369000.0,287660.72,-81339.28125
375000.0,292618.6,-82381.40625
750000.0,673811.75,-76188.25
465000.0,440681.4,-24318.59375
556386.0,544369.56,-12016.4375
189793.0,175302.0,-14491.0
375000.0,346020.25,-28979.75
157029.0,203605.4,46576.40625
590000.0,499487.72,-90512.28125
450000.0,367515.5,-82484.5
265000.0,282984.8,17984.8125
165000.0,197940.39,32940.390625
135000.0,160109.14,25109.140625
700000.0,677312.6,-22687.375
369000.0,394455.88,25455.875
503918.0,480315.12,-23602.875
525000.0,382725.8,-142274.1875
317000.0,360581.53,43581.53125
250000.0,229183.4,-20816.59375
320000.0,349912.34,29912.34375
399000.0,416019.44,17019.4375
980000.0,1310753.0,330753.0
135000.0,177578.3,42578.296875
355054.0,346581.7,-8472.3125
286000.0,346759.06,60759.0625
295000.0,291903.1,-3096.90625
298000.0,289056.2,-8943.8125
299827.0,379222.2,79395.1875
273000.0,272797.3,-202.6875
399000.0,435206.44,36206.4375
159000.0,215235.1,56235.09375
299000.0,363521.72,64521.71875
409000.0,376386.25,-32613.75
535000.0,774987.8,239987.8125
219000.0,269116.06,50116.0625
149000.0,208744.6,59744.59375
379000.0,294635.25,-84364.75
235000.0,290574.1,55574.09375
435000.0,438946.16,3946.15625
359000.0,321581.9,-37418.09375
295000.0,387478.6,92478.59375
590000.0,567409.8,-22590.1875
294000.0,305728.38,11728.375
1195000.0,541022.75,-653977.25
995000.0,880733.1,-114266.875
574000.0,686583.44,112583.4375
150000.0,200716.47,50716.46875
339000.0,382266.84,43266.84375
288000.0,386934.22,98934.21875
669000.0,706578.75,37578.75
1325000.0,655630.1,-669369.875
218400.0,235843.72,17443.71875
440000.0,411927.03,-28072.96875
199000.0,370092.12,171092.125
239000.0,316207.22,77207.21875
464500.0,524339.25,59839.25
129000.0,356659.22,227659.21875
475000.0,420125.03,-54874.96875
339900.0,290165.25,-49734.75
180000.0,195427.19,15427.1875
249000.0,268482.72,19482.71875
469000.0,537195.8,68195.8125
420000.0,467263.38,47263.375
169000.0,198266.23,29266.234375
253000.0,306727.56,53727.5625
406000.0,328914.9,-77085.09375
377000.0,435290.84,58290.84375
275000.0,316114.5,41114.5
535000.0,435983.06,-99016.9375
219000.0,218742.81,-257.1875
334000.0,423050.88,89050.875
299000.0,311694.62,12694.625
265000.0,318038.7,53038.6875
374900.0,379553.38,4653.375
319900.0,323108.9,3208.90625
369000.0,376175.16,7175.15625
530000.0,385260.94,-144739.0625
6950000.0,7125880.0,175880.0
169000.0,210194.12,41194.125
423000.0,460014.22,37014.21875
249800.0,270127.4,20327.40625
549000.0,602562.0,53562.0
1250000.0,1098781.1,-151218.875
405000.0,424913.28,19913.28125
429000.0,382445.2,-46554.8125
319000.0,290124.0,-28876.0
306000.0,297787.53,-8212.46875
379000.0,403482.5,24482.5
317000.0,298720.97,-18279.03125
265000.0,289840.03,24840.03125
325000.0,316102.94,-8897.0625
298000.0,297567.0,-433.0
97000.0,151769.62,54769.625
287000.0,346841.34,59841.34375
275000.0,263296.12,-11703.875
280000.0,327066.7,47066.6875
367000.0,318857.3,-48142.6875
165000.0,185338.1,20338.09375
239900.0,247050.1,7150.09375
269000.0,261050.22,-7949.78125
352863.0,310421.62,-42441.375
620000.0,706460.8,86460.8125
395000.0,346238.5,-48761.5
130000.0,144184.44,14184.4375
280000.0,253493.84,-26506.15625
196836.0,254708.3,57872.296875
330000.0,333289.66,3289.65625
239000.0,340033.88,101033.875
250000.0,433575.44,183575.4375
178000.0,190141.06,12141.0625
449100.0,423328.6,-25771.40625
255000.0,222537.69,-32462.3125
388000.0,401881.5,13881.5
210000.0,152830.75,-57169.25
445000.0,681093.9,236093.875
85000.0,186241.22,101241.21875
250000.0,478014.9,228014.90625
675000.0,628042.6,-46957.375
495000.0,652868.3,157868.3125
355000.0,299921.97,-55078.03125
259000.0,333176.3,74176.3125
169000.0,155808.84,-13191.15625
299000.0,378044.5,79044.5
333700.0,342824.06,9124.0625
150000.0,174548.28,24548.28125
440446.0,450722.53,10276.53125
273579.0,264446.25,-9132.75
375000.0,407310.44,32310.4375
490000.0,437161.16,-52838.84375
295000.0,300784.3,5784.3125
745000.0,691464.1,-53535.875
200000.0,222379.1,22379.09375
199000.0,205522.0,6522.0
209000.0,246236.84,37236.84375
332000.0,243369.39,-88630.609375
395000.0,383427.72,-11572.28125
325000.0,530918.5,205918.5
425000.0,356282.3,-68717.6875
249900.0,283875.75,33975.75
299000.0,392568.84,93568.84375
350000.0,273482.75,-76517.25
265000.0,361853.9,96853.90625
515000.0,445156.84,-69843.15625
293981.0,256987.56,-36993.4375
229000.0,233736.44,4736.4375
265000.0,219905.48,-45094.515625
302589.0,342189.7,39600.6875
169000.0,188993.61,19993.609375
464475.0,427434.0,-37041.0
584866.0,482273.66,-102592.34375
1300000.0,1093213.0,-206787.0
262500.0,316757.9,54257.90625
565000.0,511063.25,-53936.75
439000.0,403333.5,-35666.5
220000.0,203629.75,-16370.25
362000.0,315916.78,-46083.21875
1590000.0,1745406.2,155406.25
170000.0,196447.47,26447.46875
389000.0,287447.03,-101552.96875
329000.0,329719.0,719.0
274700.0,316392.34,41692.34375
370000.0,357772.28,-12227.71875
405000.0,334523.53,-70476.46875
430000.0,471874.8,41874.8125
